Jahr;ICD10_Code;Diagnose_Bezeichnung;maennlich_unter_1_Jahr;maennlich_1_bis_unter_5_Jahre;maennlich_5_bis_unter_10_Jahre;maennlich_10_bis_unter_15_Jahre;maennlich_15_bis_unter_18_Jahre;maennlich_18_bis_unter_20_Jahre;maennlich_20_bis_unter_25_Jahre;maennlich_25_bis_unter_30_Jahre;maennlich_30_bis_unter_35_Jahre;maennlich_35_bis_unter_40_Jahre;maennlich_40_bis_unter_45_Jahre;maennlich_45_bis_unter_50_Jahre;maennlich_50_bis_unter_55_Jahre;maennlich_55_bis_unter_60_Jahre;maennlich_60_bis_unter_65_Jahre;maennlich_65_bis_unter_70_Jahre;maennlich_70_bis_unter_75_Jahre;maennlich_75_bis_unter_80_Jahre;maennlich_80_bis_unter_85_Jahre;maennlich_85_bis_unter_90_Jahre;maennlich_90_bis_unter_95_Jahre;maennlich_95_Jahre_und_mehr;maennlich_insgesamt;weiblich_unter_1_Jahr;weiblich_1_bis_unter_5_Jahre;weiblich_5_bis_unter_10_Jahre;weiblich_10_bis_unter_15_Jahre;weiblich_15_bis_unter_18_Jahre;weiblich_18_bis_unter_20_Jahre;weiblich_20_bis_unter_25_Jahre;weiblich_25_bis_unter_30_Jahre;weiblich_30_bis_unter_35_Jahre;weiblich_35_bis_unter_40_Jahre;weiblich_40_bis_unter_45_Jahre;weiblich_45_bis_unter_50_Jahre;weiblich_50_bis_unter_55_Jahre;weiblich_55_bis_unter_60_Jahre;weiblich_60_bis_unter_65_Jahre;weiblich_65_bis_unter_70_Jahre;weiblich_70_bis_unter_75_Jahre;weiblich_75_bis_unter_80_Jahre;weiblich_80_bis_unter_85_Jahre;weiblich_85_bis_unter_90_Jahre;weiblich_90_bis_unter_95_Jahre;weiblich_95_Jahre_und_mehr;weiblich_insgesamt;insgesamt_unter_1_Jahr;insgesamt_1_bis_unter_5_Jahre;insgesamt_5_bis_unter_10_Jahre;insgesamt_10_bis_unter_15_Jahre;insgesamt_15_bis_unter_18_Jahre;insgesamt_18_bis_unter_20_Jahre;insgesamt_20_bis_unter_25_Jahre;insgesamt_25_bis_unter_30_Jahre;insgesamt_30_bis_unter_35_Jahre;insgesamt_35_bis_unter_40_Jahre;insgesamt_40_bis_unter_45_Jahre;insgesamt_45_bis_unter_50_Jahre;insgesamt_50_bis_unter_55_Jahre;insgesamt_55_bis_unter_60_Jahre;insgesamt_60_bis_unter_65_Jahre;insgesamt_65_bis_unter_70_Jahre;insgesamt_70_bis_unter_75_Jahre;insgesamt_75_bis_unter_80_Jahre;insgesamt_80_bis_unter_85_Jahre;insgesamt_85_bis_unter_90_Jahre;insgesamt_90_bis_unter_95_Jahre;insgesamt_95_Jahre_und_mehr;insgesamt_insgesamt
2024;ICD10-E14;    Nicht näher bezeichneter Diabetes mellitus;0;0;2;9;5;2;4;11;12;19;28;19;26;34;37;28;36;26;31;13;4;1;347;0;1;3;11;1;0;5;10;11;3;12;7;6;11;20;17;13;11;13;14;1;5;175;0;1;5;20;6;2;9;21;23;22;40;26;32;45;57;45;49;37;44;27;5;6;522
2024;ICD10-E15-E16;  Blutglukoseregulationsstörung;72;156;54;20;16;10;41;35;41;42;51;45;49;74;84;87;80;60;104;77;18;8;1224;50;150;39;13;17;32;101;73;94;68;85;74;70;80;65;66;86;91;109;94;52;13;1522;122;306;93;33;33;42;142;108;135;110;136;119;119;154;149;153;166;151;213;171;70;21;2746
2024;ICD10-E15;    Hypoglykämisches Koma, nichtdiabetisch;0;2;0;0;0;1;1;1;1;1;4;0;3;0;5;5;4;2;4;5;1;0;40;0;2;0;0;0;0;3;2;3;3;9;2;1;6;3;3;7;7;7;7;4;0;69;0;4;0;0;0;1;4;3;4;4;13;2;4;6;8;8;11;9;11;12;5;0;109
2024;ICD10-E16;    Sonst. Störungen d. inneren Sekretion des Pankreas;72;154;54;20;16;9;40;34;40;41;47;45;46;74;79;82;76;58;100;72;17;8;1184;50;148;39;13;17;32;98;71;91;65;76;72;69;74;62;63;79;84;102;87;48;13;1453;122;302;93;33;33;41;138;105;131;106;123;117;115;148;141;145;155;142;202;159;65;21;2637
2024;ICD10-E20-E35;  Krankheiten sonstiger endokriner Drüsen;84;244;444;339;127;42;106;163;174;227;252;281;377;587;600;614;454;428;376;222;57;5;6203;73;187;356;247;84;71;165;264;329;423;494;538;780;1153;1131;1037;1044;772;859;609;164;21;10801;157;431;800;586;211;113;271;427;503;650;746;819;1157;1740;1731;1651;1498;1200;1235;831;221;26;17004
2024;ICD10-E20;    Hypoparathyreoidismus;3;0;6;3;1;1;1;1;2;3;2;3;4;2;3;3;5;2;4;1;0;0;50;1;6;0;2;0;0;1;4;2;5;2;4;4;10;4;3;11;6;5;2;0;0;72;4;6;6;5;1;1;2;5;4;8;4;7;8;12;7;6;16;8;9;3;0;0;122
2024;ICD10-E21;    Hyperparathyreoidismus u.sonst.Kh.d.Nebenschilddr.;0;2;0;6;9;2;13;28;47;59;62;90;125;216;227;208;150;134;82;24;2;2;1488;0;0;1;4;4;13;18;43;67;113;150;219;453;695;698;610;550;339;265;132;21;1;4396;0;2;1;10;13;15;31;71;114;172;212;309;578;911;925;818;700;473;347;156;23;3;5884
2024;ICD10-E22;    Überfunktion der Hypophyse;3;1;5;4;1;2;2;3;8;12;20;14;25;68;101;155;113;148;176;141;46;3;1051;6;2;10;2;2;0;6;8;17;10;19;17;31;75;109;143;224;224;419;393;122;19;1858;9;3;15;6;3;2;8;11;25;22;39;31;56;143;210;298;337;372;595;534;168;22;2909
2024;ICD10-E23;    Unterfunktion und andere Störungen der Hypophyse;23;123;150;111;59;12;21;25;20;21;20;23;24;36;45;31;29;37;20;9;1;0;840;21;92;132;96;36;6;29;28;36;56;41;29;43;53;59;44;29;26;23;7;6;0;892;44;215;282;207;95;18;50;53;56;77;61;52;67;89;104;75;58;63;43;16;7;0;1732
2024;ICD10-E24;    Cushing-Syndrom;0;0;1;3;2;0;9;6;7;13;11;15;22;19;22;17;10;3;2;0;1;0;163;0;3;4;9;11;4;7;19;29;28;29;31;30;40;35;27;29;9;7;3;0;0;354;0;3;5;12;13;4;16;25;36;41;40;46;52;59;57;44;39;12;9;3;1;0;517
2024;ICD10-E25;    Adrenogenitale Störungen;36;6;5;6;4;0;1;0;3;0;2;2;2;0;0;0;0;0;0;0;0;0;67;23;11;11;6;2;1;1;0;2;0;2;0;1;1;0;0;0;0;0;1;0;0;62;59;17;16;12;6;1;2;0;5;0;4;2;3;1;0;0;0;0;0;1;0;0;129
2024;ICD10-E26;    Hyperaldosteronismus;1;0;3;4;2;3;4;13;22;49;63;97;99;134;84;73;30;16;13;4;0;0;714;7;4;1;3;1;1;12;13;52;65;105;114;86;114;55;51;37;27;19;7;2;0;776;8;4;4;7;3;4;16;26;74;114;168;211;185;248;139;124;67;43;32;11;2;0;1490
2024;ICD10-E27;    Sonstige Krankheiten der Nebenniere;14;21;27;18;15;13;44;72;51;57;64;30;60;97;104;113;105;86;69;42;7;0;1109;8;8;17;16;6;26;46;67;65;102;117;107;115;135;152;141;143;135;114;63;13;1;1597;22;29;44;34;21;39;90;139;116;159;181;137;175;232;256;254;248;221;183;105;20;1;2706
2024;ICD10-E28;    Ovarielle Dysfunktion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;6;14;16;32;52;37;20;11;5;2;8;4;2;1;0;0;1;0;0;213;1;0;1;6;14;16;32;52;37;20;11;5;2;8;4;2;1;0;0;1;0;0;213
2024;ICD10-E29;    Testikuläre Dysfunktion;0;0;1;0;2;0;1;3;1;2;0;0;1;0;3;0;0;1;0;1;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;3;1;2;0;0;1;0;3;0;0;1;0;1;0;0;16
2024;ICD10-E30;    Pubertätsstörungen, ao. nicht klassifiziert;1;0;8;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;10;45;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;1;10;53;14;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88
2024;ICD10-E31;    Polyglanduläre Dysfunktion;0;1;1;1;0;0;1;4;1;0;2;1;0;2;2;0;1;0;1;0;0;0;18;0;4;1;1;0;0;3;2;2;3;3;3;3;5;2;3;2;2;1;0;0;0;40;0;5;2;2;0;0;4;6;3;3;5;4;3;7;4;3;3;2;2;0;0;0;58
2024;ICD10-E32;    Krankheiten des Thymus;1;0;2;1;1;5;6;7;9;10;3;5;10;8;8;10;6;0;9;0;0;0;101;2;2;2;0;0;1;5;24;18;18;8;6;10;12;11;12;11;4;3;0;0;0;149;3;2;4;1;1;6;11;31;27;28;11;11;20;20;19;22;17;4;12;0;0;0;250
2024;ICD10-E34;    Sonstige endokrine Störungen;2;90;235;171;23;4;3;1;3;1;3;1;5;5;1;4;5;1;0;0;0;0;558;4;45;131;99;6;3;5;4;2;3;7;3;2;5;2;1;7;0;3;0;0;0;332;6;135;366;270;29;7;8;5;5;4;10;4;7;10;3;5;12;1;3;0;0;0;890
2024;ICD10-E35;    Störungen der endokrinen Drüsen bei ao. klass. Kh.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;ICD10-E40-E46;  Mangelernährung;48;56;32;22;17;6;8;6;4;12;11;11;11;35;39;49;52;35;57;27;15;4;557;28;48;29;30;15;4;19;9;12;14;17;18;28;33;46;57;66;76;83;64;27;5;728;76;104;61;52;32;10;27;15;16;26;28;29;39;68;85;106;118;111;140;91;42;9;1285
2024;ICD10-E40;    Kwashiorkor;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;5
2024;ICD10-E41;    Alimentärer Marasmus;1;3;2;4;4;2;2;1;0;3;0;2;2;7;4;8;11;5;8;2;1;1;73;0;3;4;3;4;2;8;4;3;4;2;5;3;7;8;11;8;5;16;5;1;0;106;1;6;6;7;8;4;10;5;3;7;2;7;5;14;12;19;19;10;24;7;2;1;179
2024;ICD10-E42;    Kwashiorkor-Marasmus;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;1;1;0;0;0;7
2024;ICD10-E43;    N.n.bez. erhebl. Energie- u. Eiweißmangelernährung;3;7;1;2;2;0;3;3;1;3;3;2;2;13;17;8;13;14;13;12;5;1;128;4;6;3;3;0;2;7;3;6;6;5;4;12;11;14;17;18;28;20;23;7;2;201;7;13;4;5;2;2;10;6;7;9;8;6;14;24;31;25;31;42;33;35;12;3;329
2024;ICD10-E44;    Energie-u.Eiweißmangelernähr.mäßigen u.leicht.Grd.;6;6;5;2;2;2;2;1;0;1;2;0;3;2;6;8;10;4;6;3;3;1;75;6;6;5;11;7;0;1;0;2;1;1;0;8;2;10;7;13;14;14;13;5;0;126;12;12;10;13;9;2;3;1;2;2;3;0;11;4;16;15;23;18;20;16;8;1;201
2024;ICD10-E45;    Entwicklungsverzög.d.Energie-u.Eiweißmangelernähr.;30;29;17;8;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;14;24;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;44;53;25;17;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145
2024;ICD10-E46;    N.n.bez. Energie- und Eiweißmangelernährung;8;10;7;6;4;1;1;1;3;5;6;7;4;12;12;24;18;11;29;10;6;1;186;3;9;9;4;4;0;3;1;1;3;9;8;5;13;12;20;27;29;33;23;14;3;233;11;19;16;10;8;1;4;2;4;8;15;15;9;25;24;44;45;40;62;33;20;4;419
2024;ICD10-E50-E64;  Sonstige alimentäre Mangelzustände;17;24;10;24;13;22;60;44;35;46;58;76;124;216;257;252;170;137;101;84;9;2;1781;15;32;20;32;23;20;37;44;46;73;61;65;96;130;179;147;153;103;110;90;27;8;1511;32;56;30;56;36;42;97;88;81;119;119;141;220;346;436;399;323;240;211;174;36;10;3292
2024;ICD10-E50;    Vitamin-A-Mangel;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;2;1;1;1;0;0;0;2;0;0;0;0;0;8
2024;ICD10-E51;    Thiaminmangel (Vitamin-B1-Mangel);1;0;0;1;1;1;0;13;11;28;40;54;100;164;181;162;74;39;12;15;1;0;898;1;0;0;1;2;1;3;9;7;27;28;37;46;81;102;76;60;19;9;6;0;0;515;2;0;0;2;3;2;3;22;18;55;68;91;146;245;283;238;134;58;21;21;1;0;1413
2024;ICD10-E52;    Niazinmangel (Pellagra);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2024;ICD10-E53;    Mangel an sonst. Vitaminen d. Vitamin-B-Komplexes;9;3;2;6;5;21;58;30;19;11;12;17;21;35;52;65;60;68;59;50;4;0;607;7;3;15;4;7;16;25;25;24;21;15;11;27;33;44;41;53;52;56;48;8;4;539;16;6;17;10;12;37;83;55;43;32;27;28;48;68;96;106;113;120;115;98;12;4;1146
2024;ICD10-E54;    Askorbinsäuremangel;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7
2024;ICD10-E55;    Vitamin-D-Mangel;2;7;3;12;5;0;2;1;2;0;1;1;1;4;4;3;3;0;1;1;2;0;55;1;15;2;17;5;0;2;1;2;2;0;3;5;2;3;3;5;4;2;1;2;0;77;3;22;5;29;10;0;4;2;4;2;1;4;6;6;7;6;8;4;3;2;4;0;132
2024;ICD10-E56;    Sonstige Vitaminmangelzustände;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;8;2;0;0;0;0;0;0;1;0;1;0;0;1;0;0;2;0;1;1;0;0;0;9;2;0;0;0;1;0;0;1;1;2;0;0;1;1;0;3;1;1;2;1;0;0;17
2024;ICD10-E58;    Alimentärer Kalziummangel;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;3;2;1;2;0;0;0;12;0;1;0;2;0;0;1;0;0;2;1;0;1;1;4;4;2;1;4;2;0;0;26;0;1;0;3;0;0;1;0;0;2;1;0;1;3;5;7;4;2;6;2;0;0;38
2024;ICD10-E59;    Alimentärer Selenmangel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;ICD10-E60;    Alimentärer Zinkmangel;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3
2024;ICD10-E61;    Mangel an sonstigen Spurenelementen;5;2;2;3;1;0;0;0;1;3;5;3;1;9;17;16;27;26;24;16;2;2;165;0;9;1;4;5;3;6;7;10;18;16;14;11;8;22;19;31;21;35;32;15;4;291;5;11;3;7;6;3;6;7;11;21;21;17;12;17;39;35;58;47;59;48;17;6;456
2024;ICD10-E63;    Sonstige alimentäre Mangelzustände;0;8;3;1;0;0;0;0;1;1;0;0;1;0;1;2;1;3;2;1;0;0;25;3;1;2;3;4;0;0;1;3;2;0;0;4;5;3;2;2;5;3;1;2;0;46;3;9;5;4;4;0;0;1;4;3;0;0;5;5;4;4;3;8;5;2;2;0;71
2024;ICD10-E64;    Folgen v. Mangelernährung o.sonst.alim.Mangelzust.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;ICD10-E65-E68;  Adipositas und sonstige Überernährung;10;21;67;153;89;75;306;603;999;1288;1361;1273;1277;1260;1001;586;357;200;113;42;5;0;11086;7;16;53;84;91;156;1045;2022;3151;3486;3422;2885;2872;2607;1738;964;594;407;276;125;17;2;26020;17;37;120;237;180;231;1351;2625;4150;4774;4783;4158;4149;3867;2739;1550;951;607;389;167;22;2;37106
2024;ICD10-E65;    Lokalisierte Adipositas;0;0;0;0;0;0;8;12;26;32;37;32;38;26;31;9;8;3;2;0;0;0;264;0;0;0;0;0;3;27;74;175;219;252;185;179;163;141;58;24;6;2;0;0;0;1508;0;0;0;0;0;3;35;86;201;251;289;217;217;189;172;67;32;9;4;0;0;0;1772
2024;ICD10-E66;    Adipositas;4;19;66;153;89;75;297;591;971;1256;1323;1239;1238;1230;964;577;348;197;109;42;5;0;10793;2;15;53;82;89;153;1017;1947;2975;3266;3166;2698;2689;2443;1588;900;569;401;268;121;17;2;24461;6;34;119;235;178;228;1314;2538;3946;4522;4489;3937;3927;3673;2552;1477;917;598;377;163;22;2;35254
2024;ICD10-E67;    Sonstige Überernährung;6;2;1;0;0;0;1;0;2;0;1;2;1;4;6;0;1;0;2;0;0;0;29;5;1;0;2;2;0;1;1;1;0;2;2;2;1;9;5;1;0;6;4;0;0;45;11;3;1;2;2;0;2;1;3;0;3;4;3;5;15;5;2;0;8;4;0;0;74
2024;ICD10-E68;    Folgen der Überernährung;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;1;0;0;0;0;0;0;6
2024;ICD10-E70-E90;  Stoffwechselstörungen;568;901;788;557;332;171;502;561;598;764;824;982;1565;2955;4748;5934;7754;9325;15455;16359;6519;1499;79661;471;839;685;645;522;291;1207;1855;2056;2176;2136;2048;2487;3584;4582;5896;9252;12781;26845;32172;15570;4731;132831;1039;1740;1473;1202;854;462;1709;2416;2654;2940;2960;3030;4052;6539;9330;11830;17006;22106;42300;48531;22089;6230;212492
2024;ICD10-E70;    Störungen d.Stoffwechsels aromatischer Aminosäuren;41;4;4;1;1;1;1;0;1;1;2;4;0;0;1;0;1;0;0;0;0;0;63;47;2;10;5;1;0;1;2;1;0;0;2;1;0;0;0;0;0;0;0;0;0;72;88;6;14;6;2;1;2;2;2;1;2;6;1;0;1;0;1;0;0;0;0;0;135
2024;ICD10-E71;    Störungen d. Stoffwechsels verzweigter Aminosäuren;62;91;94;33;25;4;13;4;0;5;2;1;2;2;2;0;0;1;0;0;0;0;341;42;89;41;11;22;15;18;6;6;5;1;0;2;0;2;2;3;0;0;0;0;0;265;104;180;135;44;47;19;31;10;6;10;3;1;4;2;4;2;3;1;0;0;0;0;606
2024;ICD10-E72;    Sonstige Störungen des Aminosäurestoffwechsels;45;39;33;27;2;4;3;4;5;1;2;0;0;3;1;1;2;4;0;0;0;0;176;39;28;18;9;19;9;12;3;2;14;0;0;0;2;0;2;2;1;2;0;1;0;163;84;67;51;36;21;13;15;7;7;15;2;0;0;5;1;3;4;5;2;0;1;0;339
2024;ICD10-E73;    Laktoseintoleranz;0;7;24;53;22;3;5;8;5;4;8;10;5;1;4;4;2;3;4;1;1;0;174;2;4;30;61;59;3;8;18;4;10;8;5;14;14;16;13;11;7;10;10;3;1;311;2;11;54;114;81;6;13;26;9;14;16;15;19;15;20;17;13;10;14;11;4;1;485
2024;ICD10-E74;    Sonstige Störungen des Kohlenhydratstoffwechsels;31;93;101;58;17;0;5;6;4;6;10;11;5;5;11;7;4;5;1;1;0;0;381;29;114;125;107;49;11;12;8;11;11;9;5;7;7;14;7;8;3;6;2;0;0;545;60;207;226;165;66;11;17;14;15;17;19;16;12;12;25;14;12;8;7;3;0;0;926
2024;ICD10-E75;    Stör.d.Sphingolipidstoffwechsels u.d.Lipidspeich.;16;77;129;23;19;4;6;10;7;7;9;7;11;12;11;1;3;0;1;0;0;0;353;11;79;47;69;5;14;11;4;5;11;10;6;15;38;22;11;7;2;1;0;0;0;368;27;156;176;92;24;18;17;14;12;18;19;13;26;50;33;12;10;2;2;0;0;0;721
2024;ICD10-E76;    Störungen des Glykosaminoglykan-Stoffwechsels;5;48;40;25;8;4;2;3;2;2;4;2;0;0;0;0;0;0;0;0;0;0;145;1;27;34;20;6;0;0;47;0;0;0;0;0;1;0;0;0;0;0;0;0;0;136;6;75;74;45;14;4;2;50;2;2;4;2;0;1;0;0;0;0;0;0;0;0;281
2024;ICD10-E77;    Störungen des Glykoproteinstoffwechsels;3;15;8;6;0;0;5;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;40;1;10;3;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;21;4;25;11;7;1;1;6;1;0;0;1;1;0;1;0;2;0;0;0;0;0;0;61
2024;ICD10-E78;    Stör.d.Lipoproteinstoffwechs.u.sonst.Lipididämien;11;2;2;3;2;1;5;5;11;18;25;21;16;32;40;51;37;28;15;6;0;0;331;2;4;3;7;10;1;1;4;4;5;10;13;17;31;30;37;39;32;25;11;1;2;289;13;6;5;10;12;2;6;9;15;23;35;34;33;63;70;88;76;60;40;17;1;2;620
2024;ICD10-E79;    Störungen des Purin- und Pyrimidinstoffwechsels;1;3;2;1;1;0;0;1;0;1;0;0;1;1;3;7;10;2;5;6;1;0;46;0;0;0;0;1;0;0;0;1;0;1;0;0;2;0;0;1;2;5;4;1;1;19;1;3;2;1;2;0;0;1;1;1;1;0;1;3;3;7;11;4;10;10;2;1;65
2024;ICD10-E80;    Störungen des Porphyrin- und Bilirubinstoffwechsel;20;3;6;25;39;13;36;29;20;14;21;21;4;6;5;19;5;4;6;3;1;0;300;15;4;4;11;7;11;26;32;38;17;14;6;7;14;10;12;3;3;6;2;0;0;242;35;7;10;36;46;24;62;61;58;31;35;27;11;20;15;31;8;7;12;5;1;0;542
2024;ICD10-E83;    Störungen des Mineralstoffwechsels;27;28;9;18;24;8;14;21;25;41;41;53;65;105;159;181;173;144;155;96;16;1;1404;15;21;17;31;18;4;22;30;38;53;72;84;128;179;216;234;293;251;292;221;65;8;2292;42;49;26;49;42;12;36;51;63;94;113;137;193;284;375;415;466;395;447;317;81;9;3696
2024;ICD10-E84;    Zystische Fibrose;66;116;106;103;58;39;108;126;75;75;62;41;34;24;8;11;1;1;0;0;0;0;1054;70;100;102;117;85;36;152;117;108;84;44;36;35;27;18;9;6;5;1;0;0;0;1152;136;216;208;220;143;75;260;243;183;159;106;77;69;51;26;20;7;6;1;0;0;0;2206
2024;ICD10-E85;    Amyloidose;3;13;20;16;9;10;49;32;52;34;37;41;77;102;149;190;239;283;364;187;15;2;1924;0;16;37;21;21;10;44;35;26;29;29;37;44;86;100;120;149;107;184;88;18;0;1201;3;29;57;37;30;20;93;67;78;63;66;78;121;188;249;310;388;390;548;275;33;2;3125
2024;ICD10-E86;    Volumenmangel;104;279;150;99;55;47;145;158;197;264;254;344;616;1358;2452;3377;5086;6691;12145;13751;5770;1346;54688;113;273;162;105;114;69;182;150;172;201;256;299;539;1072;1791;2759;5085;8006;18528;23808;12311;4091;80086;217;552;312;204;169;116;327;308;369;465;510;643;1155;2430;4243;6136;10171;14697;30673;37559;18081;5437;134774
2024;ICD10-E87;    Sonst. Störungen d.Wasser- u. Elektrolythaushalte;115;63;46;38;33;31;95;140;167;256;314;389;679;1223;1821;2020;2130;2116;2724;2298;713;149;17560;79;55;34;51;66;51;163;146;213;283;371;423;644;1217;1760;2398;3497;4272;7718;7977;3157;620;35195;194;118;80;89;99;82;258;286;380;539;685;812;1323;2440;3581;4418;5627;6388;10442;10275;3870;769;52755
2024;ICD10-E88;    Sonstige Stoffwechselstörungen;18;19;14;26;17;2;6;11;21;26;27;28;47;65;67;53;49;30;23;3;1;0;553;5;13;17;16;37;55;546;1239;1409;1438;1294;1095;1004;865;569;270;116;55;37;25;3;7;10115;23;32;31;42;54;57;552;1250;1430;1464;1321;1123;1051;930;636;323;165;85;60;28;4;7;10668
2024;ICD10-E89;    Endokrine u.Stoffwechselstör. nach med.Maßnahmen;0;1;0;2;0;0;4;2;6;9;6;9;3;16;14;10;12;13;12;7;1;1;128;0;0;1;3;1;1;8;14;18;15;16;36;30;28;34;22;32;35;30;24;10;1;359;0;1;1;5;1;1;12;16;24;24;22;45;33;44;48;32;44;48;42;31;11;2;487
2024;ICD10-E90;    Ernährungs- u. Stoffwechselstör. bei ao.klass.Kh.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;ICD10-F00-F99;Psychische und Verhaltensstörungen;218;2877;7435;11396;15385;13693;41802;46022;47279;55186;55386;46101;43798;49221;40100;23258;16234;11497;13030;9916;3016;547;553397;209;1528;3329;24121;32003;19742;42399;34166;31094;33398;34618;31365;35428;43505;36545;23766;19956;16339;20676;15542;5378;1335;506442;427;4405;10764;35517;47388;33435;84201;80188;78374;88584;90004;77466;79226;92726;76645;47024;36190;27836;33706;25458;8394;1882;1059840
2024;ICD10-F00-F09;  Organische, einschl. symptomat. psych. Störungen;0;5;14;37;31;77;298;399;357;433;533;566;892;1734;2486;3058;4427;5363;8269;7392;2515;452;39338;0;3;17;40;46;64;188;209;223;343;366;409;695;1098;1588;2202;3544;5229;9860;9729;4166;1122;41141;0;8;31;77;77;141;486;608;580;776;899;975;1587;2832;4074;5260;7971;10592;18129;17121;6681;1574;80479
2024;ICD10-F00;    Demenz bei Alzheimer-Krankheit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;ICD10-F01;    Vaskuläre Demenz;0;0;0;0;0;0;0;0;0;1;6;1;17;67;169;279;497;611;1001;828;256;21;3754;0;0;0;0;0;0;0;0;0;0;0;2;6;22;75;174;351;580;1126;1097;394;88;3915;0;0;0;0;0;0;0;0;0;1;6;3;23;89;244;453;848;1191;2127;1925;650;109;7669
2024;ICD10-F02;    Demenz bei anderenorts klassifizierten Krankheiten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
